school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Southern Mississippi,67.4,96.4,0.286,0.468,0.506,49.9,54.2,8,7.6,0.482,16.9,26.2,0.185
Southern Utah,73.5,101.2,0.377,0.383,0.537,49.8,49.1,8.8,10.4,0.498,15.7,24,0.27
Southern,68.3,107.5,0.49,0.359,0.581,52.1,51.8,9.2,9.1,0.547,19.4,32.2,0.338
St. Bonaventure,65.1,95.1,0.315,0.43,0.501,49.4,51.5,8.7,7.6,0.472,17.2,28.3,0.207
St. Francis (NY),70.6,99.3,0.384,0.315,0.526,50.9,44.8,7.2,10.6,0.481,17.1,27.4,0.281
St. John's (NY),72.6,101.8,0.397,0.422,0.545,54.2,54.2,7,6.4,0.507,18.5,29.2,0.282
Stanford,71.8,99.6,0.329,0.273,0.511,48.6,40.9,8.9,8.8,0.479,15,28.3,0.223
Stephen F. Austin,69.8,102.3,0.352,0.439,0.548,51,64.2,9.7,7.8,0.516,19.3,32.2,0.249
Stetson,71.6,109,0.322,0.408,0.565,52.2,57.1,9,8.8,0.54,16,30.8,0.224
Stony Brook,69.9,93.8,0.361,0.42,0.494,45.8,52,9,10.6,0.458,16.6,25.6,0.242
Syracuse,67.2,98,0.343,0.481,0.52,51.6,67.8,9.8,9.9,0.48,19.6,33.3,0.247
Temple,70.5,99.9,0.339,0.383,0.535,51.8,50.1,7.7,6.8,0.506,18,28.4,0.23
Tennessee-Martin,71.2,111.8,0.268,0.415,0.582,51.4,59.2,9.6,8.3,0.562,16.8,33.2,0.187
